Population,pop_label,Individual,indv_label,sample,order,Color,pch,cex
CEU,NA,NA12057,NA12057,0,2260,#9c66ff,V,0.8
CEU,NA,NA11829,NA11829,0,2270,#9f66ff,9,0.8
CEU,NA,NA11830,NA11830,0,2280,#a266ff,p,0.8
CEU,NA,NA11831,NA11831,0,2290,#a666ff,o,0.8
CEU,NA,NA11832,NA11832,0,2300,#a966ff,L,0.8
CEU,NA,NA11992,NA11992,0,2310,#ac66ff,R,0.8
CEU,NA,NA11993,NA11993,0,2320,#af66ff,R,0.8
CEU,NA,NA11994,NA11994,0,2330,#b266ff,W,0.8
CEU,NA,NA11995,NA11995,0,2340,#b566ff,2,0.8
CEU,NA,NA12154,NA12154,0,2350,#b866ff,1,0.8
CEU,NA,NA12236,NA12236,0,2360,#bb66ff,B,0.8
CEU,NA,NA12155,NA12155,0,2370,#be66ff,9,0.8
CEU,NA,NA12156,NA12156,0,2380,#c266ff,D,0.8
CEU,NA,NA07357,NA07357,0,2390,#c566ff,d,0.8
CEU,NA,NA07345,NA07345,0,2400,#c866ff,Z,0.8
CEU,NA,NA06994,NA06994,0,2410,#cb66ff,r,0.8
CEU,NA,NA07000,NA07000,0,2420,#ce66ff,5,0.8
CEU,NA,NA07022,NA07022,0,2430,#d166ff,Z,0.8
CEU,NA,NA07056,NA07056,0,2440,#d466ff,G,0.8
CEU,NA,NA11839,NA11839,0,2450,#d766ff,h,0.8
CEU,NA,NA11840,NA11840,0,2460,#da66ff,r,0.8
CEU,NA,NA12043,NA12043,0,2470,#dd66ff,E,0.8
CEU,NA,NA12044,NA12044,0,2480,#e166ff,u,0.8
CEU,NA,NA12144,NA12144,0,2490,#e466ff,a,0.8
CEU,NA,NA12145,NA12145,0,2500,#e766ff,5,0.8
CEU,NA,NA12146,NA12146,0,2510,#ea66ff,m,0.8
CEU,NA,NA12239,NA12239,0,2520,#ed66ff,E,0.8
CEU,NA,NA12264,NA12264,0,2530,#f066ff,J,0.8
CEU,NA,NA12234,NA12234,0,2540,#f366ff,z,0.8
CEU,NA,NA12716,NA12716,0,2550,#f666ff,O,0.8
CEU,NA,NA12717,NA12717,0,2560,#f966ff,s,0.8
CEU,NA,NA12891,NA12891,0,2570,#fc66ff,j,0.8
CEU,NA,NA12892,NA12892,0,2580,#ff66fd,m,0.8
CEU,NA,NA12812,NA12812,0,2590,#ff66fa,k,0.8
CEU,NA,NA12813,NA12813,0,2600,#ff66f7,4,0.8
